x coord, y coord, tag, u, v, m, rho, p, a1, a2
0.050000,0.050000,0,0.003807,0.003024,3.557845,835.285893,0.000000,47.698175,37.888175
0.050000,0.100000,0,-0.008524,-0.002070,3.557845,944.298422,0.000000,-106.797639,-25.938623
0.050000,0.150000,0,-0.004554,0.000387,3.557845,933.250804,0.000000,-57.058744,4.843202
0.050000,0.200000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.250000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.300000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.350000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.400000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.450000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.500000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.550000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.600000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.650000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.700000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.750000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.800000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.850000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.900000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,0.950000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.000000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.050000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.100000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.150000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.200000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.250000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.300000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
0.050000,1.350000,0,-0.003385,-0.000783,3.557845,933.252295,0.000000,-42.405542,-9.810000
